Assembly,Isolation source,source_level1,source_level2
GCA_000006765.1,,Unknown,Unknown
GCA_000014625.1,,Unknown,Unknown
GCA_000026645.1,,Unknown,Unknown
GCA_000172395.1,clininal isolate from frostbite patient,Unknown,Unknown
GCA_000168335.1,,Unknown,Unknown
GCA_000148745.1,cornea of a patient with ulcerative keratitis,Clinical,Skin_Soft_Tissue
GCA_000233495.1,gastrointestinal tract,Clinical,Gastrointestinal
GCA_000226155.1,,Unknown,Unknown
GCA_000271365.1,,Unknown,Unknown
GCA_000284555.1,,Unknown,Unknown
GCA_000247435.2,,Unknown,Unknown
GCA_000247455.2,,Unknown,Unknown
GCA_000259025.1,a cystic fibrosis patient,Clinical,CF_Respiratory
GCA_000295475.1,cystic fibrosis chronic infection,Clinical,CF_Respiratory
GCA_000297275.1,soil,Environmental,Soil
GCA_000297295.1,air from a glass-crusher air plate,Environmental,Air
GCA_000297315.1,biofilm from an industrial water system,Environmental,Water
GCA_000297335.1,cystic fibrosis patient with a chronic infection,Clinical,CF_Respiratory
GCA_000297355.1,tomato plant,Plant,Crop
GCA_000296325.1,,Unknown,Unknown
GCA_000341565.1,,Unknown,Unknown
GCA_000342145.1,,Unknown,Unknown
GCA_000359505.1,infant with community-acquired diarrhea,Unknown,Unknown
GCA_000265035.1,soil,Environmental,Soil
GCA_000271985.2,soil,Environmental,Soil
GCA_000287815.2,,Unknown,Unknown
GCA_000282915.1,,Unknown,Unknown
GCA_000283055.1,soil,Environmental,Soil
GCA_000287875.1,sputum sample,Clinical,Respiratory
GCA_000290555.2,blood,Clinical,Bloodstream
GCA_000220025.4,sputum of a 14 mo old infant with cystic fibrosis,Clinical,Respiratory
GCA_000223925.2,,Unknown,Unknown
GCA_000223945.2,,Unknown,Unknown
GCA_000223965.2,,Unknown,Unknown
GCA_000359565.1,blood from a hospitalized oncology patient,Clinical,Bloodstream
GCA_000408865.1,,Unknown,Unknown
GCA_000404265.1,,Unknown,Unknown
GCA_000414035.1,,Unknown,Unknown
GCA_000412355.1,,Unknown,Unknown
GCA_000412295.1,,Unknown,Unknown
GCA_000412395.1,,Unknown,Unknown
GCA_000412415.1,,Unknown,Unknown
GCA_000412435.1,,Unknown,Unknown
GCA_000412455.1,,Unknown,Unknown
GCA_000412495.1,,Unknown,Unknown
GCA_000412555.1,,Unknown,Unknown
GCA_000291745.1,,Unknown,Unknown
GCA_000439855.1,grown in culture and sent on a short-term space flight,Unknown,Unknown
GCA_000439875.1,grown in culture and sent on a short-term space flight,Unknown,Unknown
GCA_000455405.1,,Unknown,Unknown
GCA_000455425.1,,Unknown,Unknown
GCA_000455505.1,,Unknown,Unknown
GCA_000455545.1,,Unknown,Unknown
GCA_000468555.1,,Unknown,Unknown
GCA_000468935.1,,Unknown,Unknown
GCA_000407905.1,,Unknown,Unknown
GCA_000455705.1,water column,Environmental,Water
GCA_000215775.5,,Unknown,Unknown
GCA_000480355.1,cystic fibrosis isolate,Clinical,CF_Respiratory
GCA_000480375.1,cystic fibrosis isolate,Clinical,CF_Respiratory
GCA_000480395.1,environmental,Unknown,Unknown
GCA_000480415.1,environmental,Unknown,Unknown
GCA_000480435.1,environmental,Unknown,Unknown
GCA_000480495.1,environmental,Unknown,Unknown
GCA_000480535.1,environmental,Unknown,Unknown
GCA_000480555.1,environmental,Unknown,Unknown
GCA_000480575.1,environmental,Unknown,Unknown
GCA_000480595.1,environmental,Unknown,Unknown
GCA_000480615.1,environmental,Unknown,Unknown
GCA_000480645.1,eye,Clinical,Ocular
GCA_000480685.1,General Eye,Clinical,Ocular
GCA_000480705.1,eye,Clinical,Ocular
GCA_000480745.1,Corneal Scraping,Clinical,Ocular
GCA_000480765.1,Corneal Scaping,Clinical,Ocular
GCA_000480785.1,General Eye,Clinical,Ocular
GCA_000480805.1,eye,Clinical,Ocular
GCA_000480825.1,Corneal Scraping,Clinical,Ocular
GCA_000480845.1,Corneal Scaping,Clinical,Ocular
GCA_000480865.1,General Eye,Clinical,Ocular
GCA_000480885.1,eye,Clinical,Ocular
GCA_000480905.1,eye,Clinical,Ocular
GCA_000480925.1,Corneal Scraping,Clinical,Ocular
GCA_000480945.1,Corneal Scaping,Clinical,Ocular
GCA_000480965.1,Corneal Scraping,Clinical,Ocular
GCA_000480985.1,General Eye,Clinical,Ocular
GCA_000481005.1,Conjunctiva,Clinical,Ocular
GCA_000481025.1,eye,Clinical,Ocular
GCA_000481045.1,Corneal Scraping,Clinical,Ocular
GCA_000481065.1,General Eye,Clinical,Ocular
GCA_000481085.1,Corneal Scaping,Clinical,Ocular
GCA_000481105.1,Vitreous Fluid,Clinical,Ocular
GCA_000481125.1,Corneal Scraping,Clinical,Ocular
GCA_000481145.1,sputum,Clinical,Respiratory
GCA_000481165.1,BAL (mucoid strain),Clinical,Respiratory
GCA_000481185.1,QC org:ATCC 27853,Laboratory,Lab_Strain
GCA_000481205.1,Lung biopsy,Clinical,Respiratory
GCA_000481225.1,Abd. Woundd,Clinical,Skin_Soft_Tissue
GCA_000481245.1,wound,Clinical,Skin_Soft_Tissue
GCA_000481265.1,sputum,Clinical,Respiratory
GCA_000481305.1,sputum,Clinical,Respiratory
GCA_000481325.1,wound,Clinical,Skin_Soft_Tissue
GCA_000481365.1,urine,Clinical,Urinary
GCA_000481385.1,ear,Clinical,Ear_Nose_Throat
GCA_000481405.1,urine,Clinical,Urinary
GCA_000481425.1,Foot wound,Clinical,Skin_Soft_Tissue
GCA_000481445.1,sputum,Clinical,Respiratory
GCA_000481465.1,sputum,Clinical,Respiratory
GCA_000481485.1,tissue middle turbinate,Unknown,Unknown
GCA_000481505.1,G-tube site,Clinical,Medical_Device
GCA_000481525.1,Groin abscess,Clinical,Skin_Soft_Tissue
GCA_000481545.1,shin wound,Clinical,Skin_Soft_Tissue
GCA_000481565.1,Abscess (abdominal),Clinical,Skin_Soft_Tissue
GCA_000481585.1,BAL,Clinical,Respiratory
GCA_000481605.1,urine,Clinical,Urinary
GCA_000481625.1,"toenail, subungal debris",Unknown,Unknown
GCA_000481645.1,sputum,Clinical,Respiratory
GCA_000481665.1,blood,Clinical,Bloodstream
GCA_000481685.1,urine,Clinical,Urinary
GCA_000481705.1,blood,Clinical,Bloodstream
GCA_000481725.1,blood,Clinical,Bloodstream
GCA_000481745.1,Cornea/ocular infection,Clinical,Ocular
GCA_000481765.1,Cornea/ocular infection,Clinical,Ocular
GCA_000481785.1,UTI,Clinical,Urinary
GCA_000481805.1,UTI,Clinical,Urinary
GCA_000481825.1,UTI,Clinical,Urinary
GCA_000481845.1,UTI,Clinical,Urinary
GCA_000481865.1,UTI,Clinical,Urinary
GCA_000481885.1,Cystic fibrosis,Clinical,CF_Respiratory
GCA_000481905.1,Cystic fibrosis,Clinical,CF_Respiratory
GCA_000481925.1,Cystic fibrosis,Clinical,CF_Respiratory
GCA_000481945.1,Cystic fibrosis,Clinical,CF_Respiratory
GCA_000481965.1,Environmental (water),Environmental,Water
GCA_000481985.1,Environmental (water),Environmental,Water
GCA_000482005.1,Environmental (tomato plant),Plant,Crop
GCA_000482025.1,Environmental (soil),Environmental,Soil
GCA_000484495.1,,Unknown,Unknown
GCA_000484545.1,,Unknown,Unknown
GCA_000480455.1,environmental,Unknown,Unknown
GCA_000480475.1,environmental,Unknown,Unknown
GCA_000480515.1,environmental,Unknown,Unknown
GCA_000480665.1,eye,Clinical,Ocular
GCA_000480725.1,Corneal Scraping,Clinical,Ocular
GCA_000481345.1,wound,Clinical,Skin_Soft_Tissue
GCA_000481285.1,sputum,Clinical,Respiratory
GCA_000215795.5,patient with pneunomia,Unknown,Unknown
GCA_000496455.2,Patient (nose),Clinical,Ear_Nose_Throat
GCA_000478465.2,,Unknown,Unknown
GCA_000496605.2,,Unknown,Unknown
GCA_000496645.1,,Unknown,Unknown
GCA_000504485.1,,Unknown,Unknown
GCA_000503175.1,nose of a patient in the Surgical Intensive Care Unit,Clinical,Ear_Nose_Throat
GCA_000505985.1,sputum,Clinical,Respiratory
GCA_000506025.1,sputum,Clinical,Respiratory
GCA_000506045.1,sputum,Clinical,Respiratory
GCA_000506065.1,sputum,Clinical,Respiratory
GCA_000506125.1,sputum,Clinical,Respiratory
GCA_000506185.1,sputum,Clinical,Respiratory
GCA_000506345.1,sputum,Clinical,Respiratory
GCA_000506365.1,sputum,Clinical,Respiratory
GCA_000504045.1,t-HCH contaminated soil,Environmental,Soil
GCA_000506805.1,Rectal swab,Clinical,Gastrointestinal
GCA_000506885.1,urine from a patient wiht a urinary tract infection,Clinical,Urinary
GCA_000508765.1,,Unknown,Unknown
GCA_000510305.1,CF isolate,Clinical,CF_Respiratory
GCA_000513235.1,,Unknown,Unknown
GCA_000520175.1,Environmental isolate,Unknown,Unknown
GCA_000520195.1,Environmental isolate,Unknown,Unknown
GCA_000520215.1,,Unknown,Unknown
GCA_000520255.1,sputum,Clinical,Respiratory
GCA_000520275.1,BAL,Clinical,Respiratory
GCA_000520295.1,sputum (ETT),Clinical,Respiratory
GCA_000520315.1,urine,Clinical,Urinary
GCA_000520335.1,wound,Clinical,Skin_Soft_Tissue
GCA_000520355.1,sputum,Clinical,Respiratory
GCA_000520375.1,wound,Clinical,Skin_Soft_Tissue
GCA_000520395.1,sputum,Clinical,Respiratory
GCA_000520415.1,urine,Clinical,Urinary
GCA_000520435.1,Nail bed,Unknown,Unknown
GCA_000520455.1,BAL,Clinical,Respiratory
GCA_000524595.1,compost,Environmental,Soil
GCA_000568115.1,,Unknown,Unknown
GCA_000568215.1,river water,Environmental,Water
GCA_000568235.2,cystic fibrosis sputum,Clinical,Respiratory
GCA_000583895.1,,Unknown,Unknown
GCA_000583915.1,,Unknown,Unknown
GCA_000583935.1,,Unknown,Unknown
GCA_000583955.1,,Unknown,Unknown
GCA_000583975.1,,Unknown,Unknown
GCA_000583995.1,,Unknown,Unknown
GCA_000590905.1,marine,Animal,Marine
GCA_000611995.2,urine,Clinical,Urinary
GCA_000611975.2,sputum,Clinical,Respiratory
GCA_000626655.2,,Unknown,Unknown
GCA_000629025.1,genital,Clinical,Reproductive
GCA_000629045.1,right ear,Clinical,Ear_Nose_Throat
GCA_000629065.1,urine,Clinical,Urinary
GCA_000629085.1,vulvar abscess,Clinical,Skin_Soft_Tissue
GCA_000629105.1,sputum,Clinical,Respiratory
GCA_000629125.1,urine,Clinical,Urinary
GCA_000629145.1,sputum,Clinical,Respiratory
GCA_000629165.1,,Unknown,Unknown
GCA_000629185.1,,Unknown,Unknown
GCA_000629205.1,,Unknown,Unknown
GCA_000629225.1,,Unknown,Unknown
GCA_000629245.1,,Unknown,Unknown
GCA_000629265.1,,Unknown,Unknown
GCA_000629285.1,,Unknown,Unknown
GCA_000629305.1,,Unknown,Unknown
GCA_000629325.1,,Unknown,Unknown
GCA_000629345.1,,Unknown,Unknown
GCA_000629365.1,,Unknown,Unknown
GCA_000629385.1,,Unknown,Unknown
GCA_000629405.1,,Unknown,Unknown
GCA_000629425.1,,Unknown,Unknown
GCA_000629445.1,,Unknown,Unknown
GCA_000629465.1,,Unknown,Unknown
GCA_000629485.1,,Unknown,Unknown
GCA_000629505.1,,Unknown,Unknown
GCA_000629525.1,,Unknown,Unknown
GCA_000629545.1,,Unknown,Unknown
GCA_000629565.1,,Unknown,Unknown
GCA_000629585.1,,Unknown,Unknown
GCA_000629605.1,,Unknown,Unknown
GCA_000632755.1,Activated sludge of a wastewater treatment plant,Environmental,Water
GCA_000633495.1,Carnivorous Plant Phytotelma,Plant,Crop
GCA_000647595.2,gastric juice from a dolphin kept in captivity in a marine aquarium,Animal,Marine
GCA_000647615.1,water sample from the Indian Ocean,Environmental,Water
GCA_000647635.1,rotten coconut collected in the rain forest,Unknown,Unknown
GCA_000647655.1,water sample from the Churince water spring,Environmental,Water
GCA_000647935.3,,Unknown,Unknown
GCA_000685845.1,,Unknown,Unknown
GCA_000689435.1,,Unknown,Unknown
GCA_000698765.1,,Unknown,Unknown
GCA_000709285.1,soil,Environmental,Soil
GCA_000710625.1,skin,Clinical,Skin_Soft_Tissue
GCA_000714515.1,water,Environmental,Water
GCA_000737795.1,blood,Clinical,Bloodstream
GCA_000743405.1,,Unknown,Unknown
GCA_000750905.1,,Unknown,Unknown
GCA_000756575.1,fuel tank,Environmental,Industrial
GCA_000757505.1,decaying wood from a thermal pond,Environmental,Water
GCA_000763245.3,catheter tip,Clinical,Medical_Device
GCA_000783275.1,urine,Clinical,Urinary
GCA_000786485.1,,Unknown,Unknown
GCA_000786565.1,,Unknown,Unknown
GCA_000789485.1,urinary tract infection,Clinical,Urinary
GCA_000789495.1,respiratory tract infection,Clinical,Respiratory
GCA_000789525.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000789535.1,urinary tract infection,Clinical,Urinary
GCA_000789545.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000789555.1,urinary tract infection,Clinical,Urinary
GCA_000789605.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000789625.1,urinary tract infection,Clinical,Urinary
GCA_000789645.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000789635.1,urinary tract infection,Clinical,Urinary
GCA_000789685.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000789705.1,respiratory tract infection,Clinical,Respiratory
GCA_000789755.1,respiratory tract infection,Clinical,Respiratory
GCA_000789745.1,respiratory tract infection,Clinical,Respiratory
GCA_000789785.1,urinary tract infection,Clinical,Urinary
GCA_000789805.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000789835.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000789845.1,respiratory tract infection,Clinical,Respiratory
GCA_000789815.1,respiratory tract infection,Clinical,Respiratory
GCA_000789885.1,urinary tract infection,Clinical,Urinary
GCA_000789905.1,respiratory tract infection,Clinical,Respiratory
GCA_000789935.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000789925.1,respiratory tract infection,Clinical,Respiratory
GCA_000789975.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000789965.1,respiratory tract infection,Clinical,Respiratory
GCA_000789995.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000790025.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000790035.1,urinary tract infection,Clinical,Urinary
GCA_000790065.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000790085.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000790105.1,urinary tract infection,Clinical,Urinary
GCA_000790115.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000790155.1,respiratory tract infection,Clinical,Respiratory
GCA_000790145.1,respiratory tract infection,Clinical,Respiratory
GCA_000790185.1,respiratory tract infection,Clinical,Respiratory
GCA_000790215.1,respiratory tract infection,Clinical,Respiratory
GCA_000790205.1,respiratory tract infection,Clinical,Respiratory
GCA_000790245.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000790265.1,urinary tract infection,Clinical,Urinary
GCA_000790285.1,urinary tract infection,Clinical,Urinary
GCA_000790305.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000790325.1,urinary tract infection,Clinical,Urinary
GCA_000790345.1,urinary tract infection,Clinical,Urinary
GCA_000790355.1,respiratory tract infection,Clinical,Respiratory
GCA_000790385.1,respiratory tract infection,Clinical,Respiratory
GCA_000790405.1,respiratory tract infection,Clinical,Respiratory
GCA_000790425.1,respiratory tract infection,Clinical,Respiratory
GCA_000790445.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000790485.1,respiratory tract infection,Clinical,Respiratory
GCA_000790505.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000790525.1,respiratory tract infection,Clinical,Respiratory
GCA_000790545.1,respiratory tract infection,Clinical,Respiratory
GCA_000790565.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000790585.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000790605.1,respiratory tract infection,Clinical,Respiratory
GCA_000790625.1,urinary tract infection,Clinical,Urinary
GCA_000790655.1,respiratory tract infection,Clinical,Respiratory
GCA_000790645.1,respiratory tract infection,Clinical,Respiratory
GCA_000790685.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000790705.1,urinary tract infection,Clinical,Urinary
GCA_000790725.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000790735.1,urinary tract infection,Clinical,Urinary
GCA_000790765.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000790785.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000790805.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000790825.1,urinary tract infection,Clinical,Urinary
GCA_000790835.1,respiratory tract infection,Clinical,Respiratory
GCA_000790865.1,respiratory tract infection,Clinical,Respiratory
GCA_000790885.1,respiratory tract infection,Clinical,Respiratory
GCA_000790905.1,urinary tract infection,Clinical,Urinary
GCA_000790915.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000790935.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000790965.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000790985.1,urinary tract infection,Clinical,Urinary
GCA_000791005.1,urinary tract infection,Clinical,Urinary
GCA_000791025.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791035.1,respiratory tract infection,Clinical,Respiratory
GCA_000791065.1,urinary tract infection,Clinical,Urinary
GCA_000791085.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791105.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791125.1,respiratory tract infection,Clinical,Respiratory
GCA_000791145.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791155.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791185.1,respiratory tract infection,Clinical,Respiratory
GCA_000791205.1,respiratory tract infection,Clinical,Respiratory
GCA_000791225.1,respiratory tract infection,Clinical,Respiratory
GCA_000791235.1,urinary tract infection,Clinical,Urinary
GCA_000791265.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791275.1,urinary tract infection,Clinical,Urinary
GCA_000791305.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791325.1,urinary tract infection,Clinical,Urinary
GCA_000791345.1,respiratory tract infection,Clinical,Respiratory
GCA_000791365.1,urinary tract infection,Clinical,Urinary
GCA_000791385.1,urinary tract infection,Clinical,Urinary
GCA_000791405.1,urinary tract infection,Clinical,Urinary
GCA_000791425.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791445.1,urinary tract infection,Clinical,Urinary
GCA_000791465.1,respiratory tract infection,Clinical,Respiratory
GCA_000791485.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791495.1,respiratory tract infection,Clinical,Respiratory
GCA_000791525.1,urinary tract infection,Clinical,Urinary
GCA_000791545.1,urinary tract infection,Clinical,Urinary
GCA_000791565.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791585.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791605.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791625.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791635.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791665.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791685.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791705.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791725.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791735.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791765.1,respiratory tract infection,Clinical,Respiratory
GCA_000791785.1,respiratory tract infection,Clinical,Respiratory
GCA_000791805.1,respiratory tract infection,Clinical,Respiratory
GCA_000791825.1,respiratory tract infection,Clinical,Respiratory
GCA_000791835.1,respiratory tract infection,Clinical,Respiratory
GCA_000791855.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791885.1,respiratory tract infection,Clinical,Respiratory
GCA_000791905.1,respiratory tract infection,Clinical,Respiratory
GCA_000791915.1,respiratory tract infection,Clinical,Respiratory
GCA_000791945.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791965.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000791985.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000792005.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000792025.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000792045.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000792065.1,respiratory tract infection,Clinical,Respiratory
GCA_000792085.1,respiratory tract infection,Clinical,Respiratory
GCA_000792095.1,respiratory tract infection,Clinical,Respiratory
GCA_000792115.1,respiratory tract infection,Clinical,Respiratory
GCA_000792155.1,urinary tract infection,Clinical,Urinary
GCA_000792145.1,respiratory tract infection,Clinical,Respiratory
GCA_000792165.1,urinary tract infection,Clinical,Urinary
GCA_000792205.1,urinary tract infection,Clinical,Urinary
GCA_000792225.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000792245.1,urinary tract infection,Clinical,Urinary
GCA_000792265.1,respiratory tract infection,Clinical,Respiratory
GCA_000792285.1,respiratory tract infection,Clinical,Respiratory
GCA_000792305.1,respiratory tract infection,Clinical,Respiratory
GCA_000792325.1,urinary tract infection,Clinical,Urinary
GCA_000792345.1,respiratory tract infection,Clinical,Respiratory
GCA_000792365.1,respiratory tract infection,Clinical,Respiratory
GCA_000792385.1,respiratory tract infection,Clinical,Respiratory
GCA_000792395.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000792445.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000792425.1,urinary tract infection,Clinical,Urinary
GCA_000792475.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000792465.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000792505.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000792515.1,urinary tract infection,Clinical,Urinary
GCA_000792545.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000792565.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000792575.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000792605.1,urinary tract infection,Clinical,Urinary
GCA_000792625.1,urinary tract infection,Clinical,Urinary
GCA_000792635.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000792665.1,urinary tract infection,Clinical,Urinary
GCA_000792675.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000792705.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000792725.1,respiratory tract infection,Clinical,Respiratory
GCA_000792745.1,respiratory tract infection,Clinical,Respiratory
GCA_000792765.1,respiratory tract infection,Clinical,Respiratory
GCA_000792785.1,respiratory tract infection,Clinical,Respiratory
GCA_000792805.1,urinary tract infection,Clinical,Urinary
GCA_000792825.1,urinary tract infection,Clinical,Urinary
GCA_000792845.1,respiratory tract infection,Clinical,Respiratory
GCA_000792855.1,respiratory tract infection,Clinical,Respiratory
GCA_000792885.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000792895.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000792925.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000792945.1,respiratory tract infection,Clinical,Respiratory
GCA_000792965.1,urinary tract infection,Clinical,Urinary
GCA_000792975.1,urinary tract infection,Clinical,Urinary
GCA_000793005.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000793025.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000793045.1,respiratory tract infection,Clinical,Respiratory
GCA_000793055.1,respiratory tract infection,Clinical,Respiratory
GCA_000793085.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000793105.1,urinary tract infection,Clinical,Urinary
GCA_000793125.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000793135.1,urinary tract infection,Clinical,Urinary
GCA_000793165.1,respiratory tract infection,Clinical,Respiratory
GCA_000793185.1,urinary tract infection,Clinical,Urinary
GCA_000793205.1,respiratory tract infection,Clinical,Respiratory
GCA_000793225.1,respiratory tract infection,Clinical,Respiratory
GCA_000793255.1,urinary tract infection,Clinical,Urinary
GCA_000793245.1,respiratory tract infection,Clinical,Respiratory
GCA_000793285.1,urinary tract infection,Clinical,Urinary
GCA_000793295.1,urinary tract infection,Clinical,Urinary
GCA_000793315.1,respiratory tract infection,Clinical,Respiratory
GCA_000793345.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000793385.1,urinary tract infection,Clinical,Urinary
GCA_000793365.1,respiratory tract infection,Clinical,Respiratory
GCA_000793415.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000793395.1,urinary tract infection,Clinical,Urinary
GCA_000793445.1,respiratory tract infection,Clinical,Respiratory
GCA_000793455.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000793485.1,urinary tract infection,Clinical,Urinary
GCA_000793505.1,respiratory tract infection,Clinical,Respiratory
GCA_000793585.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000793595.1,respiratory tract infection,Clinical,Respiratory
GCA_000793615.1,respiratory tract infection,Clinical,Respiratory
GCA_000793645.1,respiratory tract infection,Clinical,Respiratory
GCA_000793665.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000793685.1,respiratory tract infection,Clinical,Respiratory
GCA_000793705.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000793725.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000793745.1,urinary tract infection,Clinical,Urinary
GCA_000793765.1,respiratory tract infection,Clinical,Respiratory
GCA_000793785.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000793805.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000793825.1,respiratory tract infection,Clinical,Respiratory
GCA_000793845.1,urinary tract infection,Clinical,Urinary
GCA_000793865.1,urinary tract infection,Clinical,Urinary
GCA_000793885.1,urinary tract infection,Clinical,Urinary
GCA_000793905.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000793915.1,respiratory tract infection,Clinical,Respiratory
GCA_000793945.1,urinary tract infection,Clinical,Urinary
GCA_000793955.1,respiratory tract infection,Clinical,Respiratory
GCA_000793985.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000794005.1,respiratory tract infection,Clinical,Respiratory
GCA_000794025.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000794045.1,urinary tract infection,Clinical,Urinary
GCA_000794055.1,respiratory tract infection,Clinical,Respiratory
GCA_000794085.1,urinary tract infection,Clinical,Urinary
GCA_000794095.1,respiratory tract infection,Clinical,Respiratory
GCA_000794165.1,respiratory tract infection,Clinical,Respiratory
GCA_000794175.1,respiratory tract infection,Clinical,Respiratory
GCA_000794185.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000794195.1,respiratory tract infection,Clinical,Respiratory
GCA_000794245.1,urinary tract infection,Clinical,Urinary
GCA_000794265.1,urinary tract infection,Clinical,Urinary
GCA_000794285.1,respiratory tract infection,Clinical,Respiratory
GCA_000794305.1,respiratory tract infection,Clinical,Respiratory
GCA_000794325.1,respiratory tract infection,Clinical,Respiratory
GCA_000794335.1,respiratory tract infection,Clinical,Respiratory
GCA_000794365.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000794405.1,respiratory tract infection,Clinical,Respiratory
GCA_000794455.1,urinary tract infection,Clinical,Urinary
GCA_000794425.1,respiratory tract infection,Clinical,Respiratory
GCA_000794445.1,respiratory tract infection,Clinical,Respiratory
GCA_000794485.1,urinary tract infection,Clinical,Urinary
GCA_000794515.1,respiratory tract infection,Clinical,Respiratory
GCA_000794505.1,,Unknown,Unknown
GCA_000794545.1,respiratory tract infection,Clinical,Respiratory
GCA_000794555.1,urinary tract infection,Clinical,Urinary
GCA_000794585.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000794605.1,respiratory tract infection,Clinical,Respiratory
GCA_000794625.1,itra-abdominal tract infection,Unknown,Unknown
GCA_000794645.1,urinary tract infection,Clinical,Urinary
GCA_000794665.1,respiratory tract infection,Clinical,Respiratory
GCA_000794675.1,respiratory tract infection,Clinical,Respiratory
GCA_000794735.1,respiratory tract infection,Clinical,Respiratory
GCA_000794745.1,itra-abdominal tract infection,Unknown,Unknown
